Reference;Token number;Document number;Anno di raccolta;annotation.audio_file;annotation.begin;annotation.end;annotation.participant_code;conversation.code;conversation.duration;conversation.topic;doc.full_conversation;doc.full_jefferson;Età;Genere;Luogo di raccolta;Occupazione;Presenza di moderatore;Rapporto tra i partecipanti;Regione di provenienza;Titolo di studio;Numero di partecipanti;Tipo di interazione;Left;KWIC;Right;Non SD;Test 1;Test 2;Test 3;SD;Cumulo;Presa di turno;Richiesta di accordo/conferma;Manifestazione di accordo;Conferma dell'attenzione;Interruzione;Cessione del turno;Marcatura della conoscenza condivisa;Richiesta di attenzione;Strategie di cortesia;Gestione del topic: introduzione o ripresa di topic;Chiusura di un topic;Prolettico, marca di formulazione: ecco;Riformulazione;Marcatura di citazione/discorso riportato;Esemplificazione;Marcatura dell'inferenza;Filler, riempimento dei tempi di formulazione;Modulazione del grado di confidenza del parlante;Approssimazione;Specificazione;Attenuazione;Intensificazione;Polifunzionalità;Dubbî;Commenti
PTB009;#507;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=149817&end=150779;149817;150779;TOR001;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;26-30;F;TO;4;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;di~ gli diremo di // o facciamo noi una pausa cioè non voglio // di aspettare un a~ // tenervi prigionieri // no tanto poi //;dunque;// in quale quartiere di torino vivevi? // eh io vivevo da bambina fino alla guerra // abbiamo vissuto in corso re umberto;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;1;;
PTB009;#3966;doc#0;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB009&begin=1233252&end=1234668;1233252;1234668;TOI035;PTB009;00:47:05;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB009.html;https://search.corpuskiparla.it/corpus/conversations/PTB009_jefferson.html;over 85;F;TO;4;pens;sì;asimmetrico;piemonte;intervista semistrutturata;dip_lic;la // eh beh sicuramente // mh mh mh mh // eh che impressione hai avuto di questo cambiamento del quartiere? // xx // ma;dunque;diciamo // la fiat ha fatto arrivare tutti questi meridionali che ne aveva bisogno // certo // e ha suscitato;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBB012;#32338;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=675244&end=680084;675244;680084;BOI039;PBB012;00:49:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;BO;3;comm;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;// insomma nelle camere a gas mentre // arpad fu portato in un campo di // di lavoro // e // resistette fino a la fine del //;dunque;dal gennaio del quarantadue poco prima della liberazione da parte dei russi del campo // ecco // ah // ah // e tutto questo;;;;;1;;;;;;;;;;;;;;1;;;;1;;;;;;1;;In molti dei casi che ho etichettato come riformulazione, si tratta più propriamente di cambio di pianificazione
PBB012;#38244;doc#5;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBB012&begin=2924535&end=2926845;2924535;2926845;BOI039;PBB012;00:49:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBB012.html;https://search.corpuskiparla.it/corpus/conversations/PBB012_jefferson.html;51-55;M;BO;3;comm;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;la fine ecco // quale sarebbe stata la fine // mh // eh dov''è che sono conservate le lettere ha detto? ah ok // le lettere;dunque;sono a al museo ebraico // qua di bologna // sì // e so che // le hanno usate per // le hanno portate anche // in altri musei in;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;0;;
BOD1003;#71520;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=925468&end=927531;925468;927531;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;anziché far del casino faceva una semplificazione incredibile di tutto // allora qual è il vantaggio? //;dunque;immaginatevi che // noi // per definire un dado abbiam bisogno dell'' oggetto fisico comunque abbiam bisogno di sei;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1003;#73842;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=1900725&end=1903448;1900725;1903448;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;le uscite dei singoli dadi // questo è come se fosse le uscite tra tutte le facce comprese tra zero e ics del dado // eh //;dunque;è scritta così // in verticale // vedete dei valori complementi a zero e tre // in orizzontale ci sono i i centesimi e cioé;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
BOD1003;#74372;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=2294839&end=2301866;2294839;2301866;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;// allora // m avete problemi su questo? // no avete le tabelle avete tutto adesso le tiro fuori anch'' io le tabelle così //;dunque;a partir dalla tabella bisogna mh dobbiamo imparare a usar la tabella quindi adesso io // no no non ho bisogno di questo;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
BOD1003;#76150;doc#11;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOD1003&begin=3373223&end=3377267;3373223;3377267;BO092;BOD1003;01:24:11;fisso;https://search.corpuskiparla.it/corpus/conversations/BOD1003.html;https://search.corpuskiparla.it/corpus/conversations/BOD1003_jefferson.html;61-65;M;BO;1;intell;no;asimmetrico;emilia-romagna;lezione;phd;l'' inquinamento è la stessa cosa // sui problemi pratici ci arriviamo però // un pochino di manualità sulla tabella;dunque;vediamo ehm // qual è la probabilità di avere dei valori che siano // superiori al doppio della deviazione standard cioè;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;0;;
PTB002;#84739;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1113330&end=1116145;1113330;1116145;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;// e allora io gli avevo detto ma // come mai ti trovi per fare questo lavoro qua? // e fa perché mio papà noi eh // noi;dunque;torniamo un po'' indietro // io ero all''ospedale militare // mh // partendo da~ dalla piazza adesso non mi ricordo come si;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;
PTB002;#85436;doc#13;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB002&begin=1368822&end=1377748;1368822;1377748;TOI017;PTB002;01:27:40;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB002.html;https://search.corpuskiparla.it/corpus/conversations/PTB002_jefferson.html;over 85;M;TO;3;pens;sì;asimmetrico;puglia;intervista semistrutturata;elem;quello che volevano loro // sì non ti // le pulizie negli uffici // eh // eh // sono andato una settimana due settimane //;dunque;mi sono congedato il ventisette di novembre del m~ del mille novecento n~ n~ n~ novantadue mi sembra // pensa // ma no che;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;0;;
PBC005;#100937;doc#15;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=5760&end=11730;5760;11730;BOI014;PBC005;01:01:27;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;che no beh in freezer // in freezer il freezer è il freezer // allora // in che quartiere di bologna vivi? e come ti trovi? //;dunque;io vivo alla croce di casalecchio che è un quartiere del comune di casalecchio // che appartiene alla provincia di;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
PBC005;#108729;doc#15;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC005&begin=2827220&end=2830260;2827220;2830260;BOI014;PBC005;01:01:27;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC005.html;https://search.corpuskiparla.it/corpus/conversations/PBC005_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_lic;profonda tipo // io sono nata che c''è stata dopo poco la crisi del duemilaotto ma ovviamente non me la ricordo ecco //;dunque;una crisi c''è statala crisi // petrolifera // negli anni settanta // eh // quando // eh // c''era mh penuria di // energie //;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
TOD1017;#174689;doc#26;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1017&begin=8190&end=13280;8190;13280;TO077;TOD1017;01:41:25;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1017.html;https://search.corpuskiparla.it/corpus/conversations/TOD1017_jefferson.html;61-65;M;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;devo guardare i costumi da calzedonia c'' ho da fare // ventisette minuti perfetto // saluta ciao // ciao // buongiorno //;dunque;eh prima di iniziare eh // devo darvi una comunicazione preferisco farlo con un certo anticipo // che eh riguarda // la l'';;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;1;;
PTB014;#186484;doc#27;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB014&begin=215103&end=220110;215103;220110;TOR001;PTB014;01:05:48;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB014.html;https://search.corpuskiparla.it/corpus/conversations/PTB014_jefferson.html;26-30;F;TO;5;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// eh ha lavorato su eh un un coso sotto la stampa era una // va bene va bene // okay // ah la sapet // la sapet sì // okay // eh;dunque;quando era piccolo parlava italiano o parlava un dialetto? // italiano // italiano? // io almeno penso là // eh ma beh //;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC004;#216346;doc#30;2021;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC004&begin=1114310&end=1115920;1114310;1115920;BOI011;PBC004;00:58:50;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC004.html;https://search.corpuskiparla.it/corpus/conversations/PBC004_jefferson.html;66-70;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea;dato che comunque sono una cosa caratteristica proprio della città se // ha qualche storia // legata ai portici //;dunque;sui portici // a parte il fatto che sono tenuti da schifo // okay // c''è una cosa che io non tollero è vedere queste // come;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;0;;
BOC1001;#242119;doc#34;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1001&begin=10546&end=18778;10546;18778;BO087;BOC1001;00:14:36;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1001.html;https://search.corpuskiparla.it/corpus/conversations/BOC1001_jefferson.html;41-45;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;magistrale quindi di bibliografia? // no magistrale // no storia delle bibliotreche // ah storia dele biblioteche;dunque;ha una biblioteca di cui mi deve raccontare quale biblioteca ha scelto? ah l'' abazia di xxx lei è bolognese? // esatto //;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0;;Si sente molto male. Potrebbe anche essere interpretato come un connettivo (se ad esempio chi sostiene l'esame di storia delle biblioteche deve portare una biblioteca a scelta all'esame)
BOC1001;#243018;doc#34;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOC1001&begin=390615&end=401707;390615;401707;BO087;BOC1001;00:14:36;fisso;https://search.corpuskiparla.it/corpus/conversations/BOC1001.html;https://search.corpuskiparla.it/corpus/conversations/BOC1001_jefferson.html;41-45;M;BO;2;intell;sì;asimmetrico;emilia-romagna;esame;phd;eh anche piatti di coperta // brava brava sono xxxx collegato xx a due piatti superiore e quello brava // sì // allora;dunque;lei porta eh la storia delle biblioteche ehm xxx san pietro // xxxx // ehm i gesuiti // ah quindi qui~ qu~ // eh il programma;;;;;1;1;1;;;;;;;;;1;;;;;;;1;;;;;;1;;
PTD009;#243998;doc#35;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD009&begin=3752&end=4330;3752;4330;TOR001;PTD009;00:56:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD009.html;https://search.corpuskiparla.it/corpus/conversations/PTD009_jefferson.html;26-30;F;TO;2;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// perfetto // okay grazie // grazie arrivederci buona giornata // arrivederci // allora intanto grazie // prego //;dunque;// // ehm in che zona di torino vivi? // io ab~ vivo in zona la barca // da qualche anno // okay // ma sono son nato a torino ma ho;;;;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;1;;
PTD009;#248376;doc#35;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTD009&begin=1408710&end=1414515;1408710;1414515;TOI060;PTD009;00:56:23;fisso;https://search.corpuskiparla.it/corpus/conversations/PTD009.html;https://search.corpuskiparla.it/corpus/conversations/PTD009_jefferson.html;41-45;M;TO;2;intell;sì;asimmetrico;piemonte;intervista semistrutturata;laurea;// okay // e e lo comprenderei e lo comprenderei appieno // e senti invece san mauro com''è? // allora san mauro eh s~ a eh;dunque;// // allora san mauro io l''ho vista cambiare purtroppo non in meglio // mh mh // nel senso che eh na~ è sempre na~ comune;;;;;1;1;;;;;;;;;;;;1;;;;;1;;;;;;1;;Questi casi in cui a me sembra un marcatore prolettico, un indicatore di formulazione, li ho sempre etichettati anche come filler
PTB018;#292656;doc#40;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=82474&end=84412;82474;84412;TOR001;PTB018;00:54:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB018.html;https://search.corpuskiparla.it/corpus/conversations/PTB018_jefferson.html;26-30;F;TO;2;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// xx // perfetto // c''è tutto // okay // grazie mille // questa è sua // okay perfetto // allora // aspetti che // okay //;dunque;in quale quartiere vive? // barriera di milano // perfetto // // // e come si trova nel quartiere? // ci sono nata e mi trovo;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
PTB018;#298670;doc#40;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTB018&begin=2450035&end=2451254;2450035;2451254;TOI056;PTB018;00:54:46;fisso;https://search.corpuskiparla.it/corpus/conversations/PTB018.html;https://search.corpuskiparla.it/corpus/conversations/PTB018_jefferson.html;over 85;F;TO;2;pens;sì;asimmetrico;piemonte;intervista semistrutturata;dip_tec_prof;di crisi nella sua vita // eh beh sì eh // ne ho vissuti sì perché // è mh r~ // difficile per via della politica // mh mh //;dunque;sì // lei vuole dal dopoguerra o anche prima? // // anche prima // // anche prima // anche prima io son figlia di un operaio;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;1;;
PBC019;#305998;doc#42;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC019&begin=853280&end=857430;853280;857430;BOI044;PBC019;00:34:20;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC019.html;https://search.corpuskiparla.it/corpus/conversations/PBC019_jefferson.html;66-70;M;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;visto che ne parlavamo // del circolo? // eh esatto non so poi c''è qualcosa che può dire magari x // frequentare il circolo;dunque;io sono entrato nel settandadue // il primo anno così dopo settantaquattro ho già inizato con seguire un po'' // fare;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;;1;;
PTA003;#335969;doc#46;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PTA003&begin=2046700&end=2048812;2046700;2048812;TOR001;PTA003;01:03:28;fisso;https://search.corpuskiparla.it/corpus/conversations/PTA003.html;https://search.corpuskiparla.it/corpus/conversations/PTA003_jefferson.html;26-30;F;TO;5;intell;sì;asimmetrico;lombardia;intervista semistrutturata;phd;// mh mh mh mh // pieno // tutta comprata // eh sì // arrivano con i contanti eh // l''italiano ha fame // certo // vende //;dunque;cosa fate durante il tempo libero? // abbiam quasi finito eh // // // giochiamo a calcio // giochiamo a ca~ x // io ho ta~ io;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;1;;
TOC1004;#346686;doc#47;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOC1004&begin=1290036&end=1294803;1290036;1294803;TO018;TOC1004;01:08:11;fisso;https://search.corpuskiparla.it/corpus/conversations/TOC1004.html;https://search.corpuskiparla.it/corpus/conversations/TOC1004_jefferson.html;61-65;M;TO;3;intell;sì;asimmetrico;piemonte;esame;phd;da~ dagli standard dipende da tutta una serie di cose // esatto // il // invece il numero dei suinetti che lei ha detto;dunque;la produzione di latte cresce con il numero dei suinetti // sì // è un valore che cresce in modo // esponenziale oppure c'' è;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;1;;"A me sembra una riformulazione ma ho qualche dubbio; potrebbe anche essere un introduttore (piuttosto atipico) di discorso riportato"
TOD2012;#430833;doc#55;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD2012&begin=403474&end=404463;403474;404463;TO071;TOD2012;00:45:32;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD2012.html;https://search.corpuskiparla.it/corpus/conversations/TOD2012_jefferson.html;31-35;M;TO;2;stud;sì;simmetrico;abruzzo;intervista semistrutturata;laurea in corso;// vicino tantissimi negozi e quindi la mia voglia di shoppingeh // a chilometro zero // era appagata poi era molt // okay;dunque;// riprendiamo // dopo il problema tecnico // stavamo a san salvario stavamo // alla~ alla ca~ alla casa originaria di;;;;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;1;;
PBA020;#439441;doc#56;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=211242&end=212262;211242;212262;BOR029;PBA020;00:25:53;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;BO;3;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;molto meglio // è più tranquillo passo d''uomo insomma // capito // vai // mh // vuoi // subentrare nella // eh // tieni // //;dunque;// inizio con le domande generali? // sì se vuoi // allora // bologna è da sempre ricca di manifestazioni ed eventi // mhmh;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;1;;
PBA020;#440495;doc#56;2023;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBA020&begin=585003&end=586635;585003;586635;BOR029;PBA020;00:25:53;fisso;https://search.corpuskiparla.it/corpus/conversations/PBA020.html;https://search.corpuskiparla.it/corpus/conversations/PBA020_jefferson.html;21-25;M;BO;3;stud;sì;asimmetrico;emilia-romagna;intervista semistrutturata;laurea in corso;al cinema però // dopo col lavoro e tutto // difficile // infatti poi ho chen // // no scher~ // sì così // capito // e //;dunque;parlando di // natale // tu senti il natale come // festività // diciamo // secondo te è una tradizione forte // che ti;;;;;1;1;1;;;;;;;;;1;;;;;;;1;;;;;;1;;
BOA3003;#461108;doc#58;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=2560043&end=2573168;2560043;2573168;BO017;BOA3003;01:18:34;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;BO;4;stud;no;simmetrico;emilia-romagna;conversazione libera;laurea in corso;partecipare come parte di un gruppo ci sono arrivate tre iscrizioni singole a nome dieh sonia gaia e s~eh parteciperete;dunque;come gruppo con il nome del new book sia gaia x come capogruppo? // impazzirò // miracolo // no scherzavo ho parlato;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;0;;
BOA3003;#462605;doc#58;2017/18;https://search.corpuskiparla.it/corpus/player/player.cgi?code=BOA3003&begin=3611191&end=3626691;3611191;3626691;BO019;BOA3003;01:18:34;libero;https://search.corpuskiparla.it/corpus/conversations/BOA3003.html;https://search.corpuskiparla.it/corpus/conversations/BOA3003_jefferson.html;21-25;F;BO;4;stud;no;simmetrico;lombardia;conversazione libera;laurea in corso;// okay sìsì sìsìsìsìsìsì perché okay no okay okay // poi porta al diffondersi di informazioni negative e positive ehmh;dunque;l'' esempio l'' esempio più celebreé quello che è successo col nazismo quindi negativo ebrei positivo eh la germania //;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
PBC013;#479978;doc#61;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=926480&end=929290;926480;929290;BOI035;PBC013;01:08:09;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;perché mi diceva nella casa a ca'' de fiori ha s~ ha sempre vissuto lì o adesso non vive più lì immagino // no // no no no;dunque;ho vissuto lì coi miei genitori // okay infatti // ho vissuto lì coi miei genitori intanto frequentavo eh il marconi che;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
PBC013;#480088;doc#61;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=979390&end=986395;979390;986395;BOI035;PBC013;01:08:09;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;stata il luogo dove han vissuto la mia famiglia di origine // ehm com''era bologna allora? com''era bologna allora? //;dunque;ehm intanto diciamo io una piccola sensazione di // diciamo disagio nel senso che io andavo a scuola con ragazze che;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;1;;
PBC013;#484813;doc#61;2022;https://search.corpuskiparla.it/corpus/player/player.cgi?code=PBC013&begin=2895892&end=2902990;2895892;2902990;BOI035;PBC013;01:08:09;fisso;https://search.corpuskiparla.it/corpus/conversations/PBC013.html;https://search.corpuskiparla.it/corpus/conversations/PBC013_jefferson.html;76-80;F;BO;2;pens;sì;asimmetrico;emilia-romagna;intervista semistrutturata;dip_tec_prof;// si chiamava @nomeluogo @nomeluogo // era un circolo arci l''arci è stata fondata nel cinquantasette // e quindi;dunque;io allora se avevo diciotto diciannove anni quarantaquattro cinquantaquattro sessantadue // eh poteva essere;;;;;1;1;;;;;;;;;;;;;;;;1;1;;;;;;1;;
TOD1016;#487965;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=41025&end=41738;41025;41738;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;se // l'' aiuto un po'' // ehmh // domande cose non non chiarite // qualcosa che è rimasto qualche dubbio? // tutto bene? // eh;dunque;// non abbiamo ancora finito i testi che avete però in realtà // mh // ve ne do degli altri oggi // e quindi comincio a;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
TOD1016;#490455;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=989870&end=992510;989870;992510;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;di inseguirà addirittura tante volte l'' asprezza // diventerà però appunto // cambia il modo di cantare eh? // // eh;dunque;sì i fogli ve li ho dati ehmh // mh quello s~ mh la cosa su cui volevo soffermarmi oggi in particolare è che // questo modo di;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
TOD1016;#491663;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=1516880&end=1519960;1516880;1519960;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;a modificare uneh // le ritmiche tante volte sono uguali // è che però alla resa poi // sembrano completamente diversi //;dunque;eh la prima aria che vi ho che vi ho messo // è quella di don giovanni // giusto finch'' han dal finch'' han dal vino calda la;;;;;1;1;;;;;;;;;;1;;;;;;;1;;;;;;1;;
TOD1016;#491742;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=1555405&end=1557000;1555405;1557000;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;perché non potrei avere i due personaggi più diversi come tipologia // eh quindi è molto evidente // la la differenza;dunque;// don giovanni è il grande amatore che tutti conosciamo no? ha questa nevrosi conquistatoria // per cui addirittura il;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;0;;
TOD1016;#492566;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=2157820&end=2160468;2157820;2160468;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;diciamo è un'' aria qui in cui il canto è completamente condizionato dal ritmo // più che una melo~ da una melodia eh? // e //;dunque;il il tempo è presto // esce tutta una gamba dal largo molto largo // adagio moderato // andante allegretto allegro //;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;1;;
TOD1016;#494018;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=2746729&end=2747937;2746729;2747937;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;// ehmh // // teco ancor quella cerca menare // uf~ eh per esempio quando lui canta ed io frattanto dall'' altro canto //;dunque;eh // qua siamo // // sentite invece come canta ed io frattanto // // e questo è // adesso sì se vi sembra difficile ditemelo;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;0;;
TOD1016;#495278;doc#62;2019;https://search.corpuskiparla.it/corpus/player/player.cgi?code=TOD1016&begin=3438216&end=3439306;3438216;3439306;TO070;TOD1016;01:37:51;fisso;https://search.corpuskiparla.it/corpus/conversations/TOD1016.html;https://search.corpuskiparla.it/corpus/conversations/TOD1016_jefferson.html;46-50;F;TO;1;intell;no;asimmetrico;piemonte;lezione;phd;di metrica avete qualche concetto minimo? // laeh // quinario significa che ha l'' accento sulla quarta sillaba // e che;dunque;// presupponendo che in italiano la maggior parte delle parole // sono piane // ha cinque sillabe // no? perché nella;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;0;;
